01N0100010000	Nc-s	Noun common singular	Noun Type=common Number=singular
02V05020103010000020000000000000101	Vlsp3s--y------nn	Verb light subjunctive present third singular +Negative -Courtesy -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=no
02V05020103010000020000000000000102	Vlsp3s--y------ny	Verb light subjunctive present third singular +Negative -Courtesy +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=yes
02V05020103020000010000000000000001	Vlsp3p--n-------n	Verb light subjunctive present third plural -Negative -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=plural Negative=no Transitive=no
02V05020103020000010000000000000002	Vlsp3p--n-------y	Verb light subjunctive present third plural -Negative +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=plural Negative=no Transitive=yes
02V05020103020000020000000000000001	Vlsp3p--y-------n	Verb light subjunctive present third plural +Negative -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=plural Negative=yes Transitive=no
02V05020103020000020000000000000002	Vlsp3p--y-------y	Verb light subjunctive present third plural +Negative +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=plural Negative=yes Transitive=yes
02V05030102010000010000000000000101	Vlmp2s--n------nn	Verb light imperative present second singular -Negative -Courtesy -Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=no
02V05030102010000010000000000000102	Vlmp2s--n------ny	Verb light imperative present second singular -Negative -Courtesy +Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=yes
02V05030102010000010000000000000201	Vlmp2s--n------yn	Verb light imperative present second singular -Negative +Courtesy -Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=singular Negative=no Courtesy=yes Transitive=no
02V05030102010000020000000000000101	Vlmp2s--y------nn	Verb light imperative present second singular +Negative -Courtesy -Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=singular Negative=yes Courtesy=no Transitive=no
02V05030102010000020000000000000102	Vlmp2s--y------ny	Verb light imperative present second singular +Negative -Courtesy +Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=singular Negative=yes Courtesy=no Transitive=yes
02V05030102020000010000000000000001	Vlmp2p--n-------n	Verb light imperative present second plural -Negative -Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=plural Negative=no Transitive=no
02V05030102020000010000000000000002	Vlmp2p--n-------y	Verb light imperative present second plural -Negative +Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=plural Negative=no Transitive=yes
02V05030102020000020000000000000001	Vlmp2p--y-------n	Verb light imperative present second plural +Negative -Transitive	Verb Type=light VForm=imperative Tense=present Person=second Number=plural Negative=yes Transitive=no
02V05040000000000010000000000000001	Vlp-----n-------n	Verb light participle -Negative -Transitive	Verb Type=light VForm=participle Negative=no Transitive=no
02V05040000000000010000000000000002	Vlp-----n-------y	Verb light participle -Negative +Transitive	Verb Type=light VForm=participle Negative=no Transitive=yes
02V05040000000000010000000000010001	Vlp-----n-----p-n	Verb light participle -Negative progressive -Transitive	Verb Type=light VForm=participle Negative=no Aspect=progressive Transitive=no
02V05040000000000010000000000010002	Vlp-----n-----p-y	Verb light participle -Negative progressive +Transitive	Verb Type=light VForm=participle Negative=no Aspect=progressive Transitive=yes
02V05040000000000020000000000000001	Vlp-----y-------n	Verb light participle +Negative -Transitive	Verb Type=light VForm=participle Negative=yes Transitive=no
02V05040000000000020000000000000002	Vlp-----y-------y	Verb light participle +Negative +Transitive	Verb Type=light VForm=participle Negative=yes Transitive=yes
03A000100000000	A-p	Adjective positive	Adjective Degree=positive
03A000100000100	A-p--g	Adjective positive genitive	Adjective Degree=positive Case=genitive
03A000200000000	A-c	Adjective comparative	Adjective Degree=comparative
03A010100000000	Afp	Adjective qualificative positive	Adjective Type=qualificative Degree=positive
03A010100000001	Afp---n	Adjective qualificative positive -Definiteness	Adjective Type=qualificative Degree=positive Definiteness=no
03A010100000100	Afp--g	Adjective qualificative positive genitive	Adjective Type=qualificative Degree=positive Case=genitive
03A010200000000	Afc	Adjective qualificative comparative	Adjective Type=qualificative Degree=comparative
03A010200000001	Afc---n	Adjective qualificative comparative -Definiteness	Adjective Type=qualificative Degree=comparative Definiteness=no
03A010200000100	Afc--g	Adjective qualificative comparative genitive	Adjective Type=qualificative Degree=comparative Case=genitive
03A010300000000	Afs	Adjective qualificative superlative	Adjective Type=qualificative Degree=superlative
04P010100010000000100000000000000000001	Pp1-s---n---------n	Pronoun personal first singular -Clitic -Courtesy	Pronoun Type=personal Person=first Number=singular Clitic=no Courtesy=no
04P010100010000000100000000000000000002	Pp1-s---n---------y	Pronoun personal first singular -Clitic +Courtesy	Pronoun Type=personal Person=first Number=singular Clitic=no Courtesy=yes
04P010100010000000200000000000000000001	Pp1-s---y---------n	Pronoun personal first singular +Clitic -Courtesy	Pronoun Type=personal Person=first Number=singular Clitic=yes Courtesy=no
04P010100010200000100000000000000000000	Pp1-sa--n	Pronoun personal first singular accusative -Clitic	Pronoun Type=personal Person=first Number=singular Case=accusative Clitic=no
04P010100010200000200000000000000000001	Pp1-sa--y---------n	Pronoun personal first singular accusative +Clitic -Courtesy	Pronoun Type=personal Person=first Number=singular Case=accusative Clitic=yes Courtesy=no
04P010100020000000100000000000000000000	Pp1-p---n	Pronoun personal first plural -Clitic	Pronoun Type=personal Person=first Number=plural Clitic=no
04P010100020000000200000000000000000000	Pp1-p---y	Pronoun personal first plural +Clitic	Pronoun Type=personal Person=first Number=plural Clitic=yes
04P010200010000000100000000000000000001	Pp2-s---n---------n	Pronoun personal second singular -Clitic -Courtesy	Pronoun Type=personal Person=second Number=singular Clitic=no Courtesy=no
04P010200010000000100000000000000000002	Pp2-s---n---------y	Pronoun personal second singular -Clitic +Courtesy	Pronoun Type=personal Person=second Number=singular Clitic=no Courtesy=yes
04P010200010000000200000000000000000001	Pp2-s---y---------n	Pronoun personal second singular +Clitic -Courtesy	Pronoun Type=personal Person=second Number=singular Clitic=yes Courtesy=no
04P010200010000000200000000000000000002	Pp2-s---y---------y	Pronoun personal second singular +Clitic +Courtesy	Pronoun Type=personal Person=second Number=singular Clitic=yes Courtesy=yes
04P010200010200000100000000000000000000	Pp2-sa--n	Pronoun personal second singular accusative -Clitic	Pronoun Type=personal Person=second Number=singular Case=accusative Clitic=no
04P010200010200000200000000000000000001	Pp2-sa--y---------n	Pronoun personal second singular accusative +Clitic -Courtesy	Pronoun Type=personal Person=second Number=singular Case=accusative Clitic=yes Courtesy=no
04P010200010200000200000000000000000002	Pp2-sa--y---------y	Pronoun personal second singular accusative +Clitic +Courtesy	Pronoun Type=personal Person=second Number=singular Case=accusative Clitic=yes Courtesy=yes
04P010200020000000100000000000000000000	Pp2-p---n	Pronoun personal second plural -Clitic	Pronoun Type=personal Person=second Number=plural Clitic=no
04P010200020000000200000000000000000000	Pp2-p---y	Pronoun personal second plural +Clitic	Pronoun Type=personal Person=second Number=plural Clitic=yes
04P010300010000000100000000000000000001	Pp3-s---n---------n	Pronoun personal third singular -Clitic -Courtesy	Pronoun Type=personal Person=third Number=singular Clitic=no Courtesy=no
04P010300010000000200000000000000000001	Pp3-s---y---------n	Pronoun personal third singular +Clitic -Courtesy	Pronoun Type=personal Person=third Number=singular Clitic=yes Courtesy=no
04P010300010200000200000000000000000001	Pp3-sa--y---------n	Pronoun personal third singular accusative +Clitic -Courtesy	Pronoun Type=personal Person=third Number=singular Case=accusative Clitic=yes Courtesy=no
04P010300020000000100000000000000000000	Pp3-p---n	Pronoun personal third plural -Clitic	Pronoun Type=personal Person=third Number=plural Clitic=no
04P010300020000000200000000000000000000	Pp3-p---y	Pronoun personal third plural +Clitic	Pronoun Type=personal Person=third Number=plural Clitic=yes
04P010300020200000200000000000000000000	Pp3-pa--y	Pronoun personal third plural accusative +Clitic	Pronoun Type=personal Person=third Number=plural Case=accusative Clitic=yes
04P020000010000000000000000000000000000	Pd--s	Pronoun demonstrative singular	Pronoun Type=demonstrative Number=singular
04P020000010000000100000000000000000000	Pd--s---n	Pronoun demonstrative singular -Clitic	Pronoun Type=demonstrative Number=singular Clitic=no
04P020000010000000200000000000000000000	Pd--s---y	Pronoun demonstrative singular +Clitic	Pronoun Type=demonstrative Number=singular Clitic=yes
04P020000010200000200000000000000000000	Pd--sa--y	Pronoun demonstrative singular accusative +Clitic	Pronoun Type=demonstrative Number=singular Case=accusative Clitic=yes
04P020000020000000000000000000000000000	Pd--p	Pronoun demonstrative plural	Pronoun Type=demonstrative Number=plural
04P020000020000000100000000000000000000	Pd--p---n	Pronoun demonstrative plural -Clitic	Pronoun Type=demonstrative Number=plural Clitic=no
04P020000020000000200000000000000000000	Pd--p---y	Pronoun demonstrative plural +Clitic	Pronoun Type=demonstrative Number=plural Clitic=yes
04P020000020100000100000000000000000000	Pd--pg--n	Pronoun demonstrative plural genitive -Clitic	Pronoun Type=demonstrative Number=plural Case=genitive Clitic=no
04P030000010000000000000000000000000000	Pi--s	Pronoun indefinite singular	Pronoun Type=indefinite Number=singular
04P030000020000000000000000000000000000	Pi--p	Pronoun indefinite plural	Pronoun Type=indefinite Number=plural
04P040000010000000000000000000000000000	Pq--s	Pronoun interrogative singular	Pronoun Type=interrogative Number=singular
04P050000000000000100000000000000000000	Px------n	Pronoun reflexive -Clitic	Pronoun Type=reflexive Clitic=no
04P050000000000000200000000000000000000	Px------y	Pronoun reflexive +Clitic	Pronoun Type=reflexive Clitic=yes
04P050000000000000200000000000000000001	Px------y---------n	Pronoun reflexive +Clitic -Courtesy	Pronoun Type=reflexive Clitic=yes Courtesy=no
04P050000000100000100000000000000000000	Px---g--n	Pronoun reflexive genitive -Clitic	Pronoun Type=reflexive Case=genitive Clitic=no
04P050100010000000100000000000000000001	Px1-s---n---------n	Pronoun reflexive first singular -Clitic -Courtesy	Pronoun Type=reflexive Person=first Number=singular Clitic=no Courtesy=no
04P050100010000000200000000000000000001	Px1-s---y---------n	Pronoun reflexive first singular +Clitic -Courtesy	Pronoun Type=reflexive Person=first Number=singular Clitic=yes Courtesy=no
04P050100020000000100000000000000000000	Px1-p---n	Pronoun reflexive first plural -Clitic	Pronoun Type=reflexive Person=first Number=plural Clitic=no
04P050200010000000100000000000000000001	Px2-s---n---------n	Pronoun reflexive second singular -Clitic -Courtesy	Pronoun Type=reflexive Person=second Number=singular Clitic=no Courtesy=no
04P050200010000000200000000000000000001	Px2-s---y---------n	Pronoun reflexive second singular +Clitic -Courtesy	Pronoun Type=reflexive Person=second Number=singular Clitic=yes Courtesy=no
04P050200020000000200000000000000000000	Px2-p---y	Pronoun reflexive second plural +Clitic	Pronoun Type=reflexive Person=second Number=plural Clitic=yes
04P050300010000000100000000000000000001	Px3-s---n---------n	Pronoun reflexive third singular -Clitic -Courtesy	Pronoun Type=reflexive Person=third Number=singular Clitic=no Courtesy=no
04P050300010000000200000000000000000001	Px3-s---y---------n	Pronoun reflexive third singular +Clitic -Courtesy	Pronoun Type=reflexive Person=third Number=singular Clitic=yes Courtesy=no
04P050300020000000100000000000000000000	Px3-p---n	Pronoun reflexive third plural -Clitic	Pronoun Type=reflexive Person=third Number=plural Clitic=no
04P050300020000000200000000000000000000	Px3-p---y	Pronoun reflexive third plural +Clitic	Pronoun Type=reflexive Person=third Number=plural Clitic=yes
04P060000000000000000000000000000000000	Py	Pronoun reciprocal	Pronoun Type=reciprocal
05D01000000	Dd	Determiner demonstrative	Determiner Type=demonstrative
05D02000000	Di	Determiner indefinite	Determiner Type=indefinite
05D03000000	Dq	Determiner interrogative	Determiner Type=interrogative
05D04000000	De	Determiner exclamative	Determiner Type=exclamative
05D05000000	Da	Determiner article	Determiner Type=article
05D06000000	Dx	Determiner exceptional	Determiner Type=exceptional
06R00010000000000	R-p	Adverb positive	Adverb Degree=positive
06R00010000000001	R-p----g	Adverb positive genitive	Adverb Degree=positive Case=genitive
06R00020000000000	R-c	Adverb comparative	Adverb Degree=comparative
07S0101	Sps	Adposition preposition simple	Adposition Type=preposition Formation=simple
07S0102	Spc	Adposition preposition compound	Adposition Type=preposition Formation=compound
07S0201	Sts	Adposition postposition simple	Adposition Type=postposition Formation=simple
08C0101	Ccs	Conjunction coordinating simple	Conjunction Type=coordinating Formation=simple
08C0102	Ccc	Conjunction coordinating compound	Conjunction Type=coordinating Formation=compound
08C0201	Css	Conjunction subordinating simple	Conjunction Type=subordinating Formation=simple
08C0202	Csc	Conjunction subordinating compound	Conjunction Type=subordinating Formation=compound
09M010000000000	Mc	Numeral cardinal	Numeral Type=cardinal
09M010000000001	Mc----n	Numeral cardinal -Definiteness	Numeral Type=cardinal Definiteness=no
09M010000010000	Mc--g	Numeral cardinal genitive	Numeral Type=cardinal Case=genitive
09M020000000000	Mo	Numeral ordinal	Numeral Type=ordinal
09M020000000001	Mo----n	Numeral ordinal -Definiteness	Numeral Type=ordinal Definiteness=no
09M020000010000	Mo--g	Numeral ordinal genitive	Numeral Type=ordinal Case=genitive
09M030000010000	Mf--g	Numeral fractal genitive	Numeral Type=fractal Case=genitive
09M040000000000	Mr	Numeral ordinal2	Numeral Type=ordinal2
10I	I	Interjection	Interjection
11X	X	Residual	Residual
12Y	Y	Abbreviation	Abbreviation
13Z	Z	Punctuation	Punctuation
