01N0100010000	Nc-s	Noun common singular	Noun Type=common Number=singular
02V01020101020000020000000000000002	Vmsp1p--y-------y	Verb main subjunctive present first plural +Negative +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=first Number=plural Negative=yes Transitive=yes
02V01020102010000010000000000000101	Vmsp2s--n------nn	Verb main subjunctive present second singular -Negative -Courtesy -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=no
02V01020102010000010000000000000102	Vmsp2s--n------ny	Verb main subjunctive present second singular -Negative -Courtesy +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=yes
02V01020102010000010000000000000201	Vmsp2s--n------yn	Verb main subjunctive present second singular -Negative +Courtesy -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=yes Transitive=no
02V01020102010000010000000000000202	Vmsp2s--n------yy	Verb main subjunctive present second singular -Negative +Courtesy +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=yes Transitive=yes
02V01020102020000010000000000000002	Vmsp2p--n-------y	Verb main subjunctive present second plural -Negative +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=second Number=plural Negative=no Transitive=yes
02V01020102020000020000000000000002	Vmsp2p--y-------y	Verb main subjunctive present second plural +Negative +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=second Number=plural Negative=yes Transitive=yes
02V01020103010000010000000000000101	Vmsp3s--n------nn	Verb main subjunctive present third singular -Negative -Courtesy -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular Negative=no Courtesy=no Transitive=no
02V01020103010000010000000000000102	Vmsp3s--n------ny	Verb main subjunctive present third singular -Negative -Courtesy +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular Negative=no Courtesy=no Transitive=yes
02V01020103010000020000000000000101	Vmsp3s--y------nn	Verb main subjunctive present third singular +Negative -Courtesy -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=no
02V01020103010000020000000000000102	Vmsp3s--y------ny	Verb main subjunctive present third singular +Negative -Courtesy +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=yes
02V01020103020000010000000000000001	Vmsp3p--n-------n	Verb main subjunctive present third plural -Negative -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=third Number=plural Negative=no Transitive=no
02V01020103020000010000000000000002	Vmsp3p--n-------y	Verb main subjunctive present third plural -Negative +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=third Number=plural Negative=no Transitive=yes
02V01020103020000020000000000000001	Vmsp3p--y-------n	Verb main subjunctive present third plural +Negative -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=third Number=plural Negative=yes Transitive=no
02V01030102010000010000000000000101	Vmmp2s--n------nn	Verb main imperative present second singular -Negative -Courtesy -Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=no
02V01030102010000010000000000000102	Vmmp2s--n------ny	Verb main imperative present second singular -Negative -Courtesy +Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=yes
02V01030102010000010000000000000201	Vmmp2s--n------yn	Verb main imperative present second singular -Negative +Courtesy -Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Negative=no Courtesy=yes Transitive=no
02V01030102010000020000000000000101	Vmmp2s--y------nn	Verb main imperative present second singular +Negative -Courtesy -Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Negative=yes Courtesy=no Transitive=no
02V01030102010000020000000000000102	Vmmp2s--y------ny	Verb main imperative present second singular +Negative -Courtesy +Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Negative=yes Courtesy=no Transitive=yes
02V01030102010000020000000000000202	Vmmp2s--y------yy	Verb main imperative present second singular +Negative +Courtesy +Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Negative=yes Courtesy=yes Transitive=yes
02V01030102020000010000000000000001	Vmmp2p--n-------n	Verb main imperative present second plural -Negative -Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Negative=no Transitive=no
02V01030102020000010000000000000002	Vmmp2p--n-------y	Verb main imperative present second plural -Negative +Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Negative=no Transitive=yes
02V01030102020000020000000000000001	Vmmp2p--y-------n	Verb main imperative present second plural +Negative -Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Negative=yes Transitive=no
02V01030102020000020000000000000002	Vmmp2p--y-------y	Verb main imperative present second plural +Negative +Transitive	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Negative=yes Transitive=yes
02V01040000000000010000000000000001	Vmp-----n-------n	Verb main participle -Negative -Transitive	Verb Type=main VForm=participle Negative=no Transitive=no
02V01040000000000010000000000000002	Vmp-----n-------y	Verb main participle -Negative +Transitive	Verb Type=main VForm=participle Negative=no Transitive=yes
02V01040000000000010000000000010001	Vmp-----n-----p-n	Verb main participle -Negative progressive -Transitive	Verb Type=main VForm=participle Negative=no Aspect=progressive Transitive=no
02V01040000000000010000000000010002	Vmp-----n-----p-y	Verb main participle -Negative progressive +Transitive	Verb Type=main VForm=participle Negative=no Aspect=progressive Transitive=yes
02V01040000000000020000000000000001	Vmp-----y-------n	Verb main participle +Negative -Transitive	Verb Type=main VForm=participle Negative=yes Transitive=no
02V01040000000000020000000000000002	Vmp-----y-------y	Verb main participle +Negative +Transitive	Verb Type=main VForm=participle Negative=yes Transitive=yes
02V02010101010000000000000000000100	Vaip1s---------n	Verb auxiliary indicative present first singular -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=singular Courtesy=no
02V02010101010000010000000000000100	Vaip1s--n------n	Verb auxiliary indicative present first singular -Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=singular Negative=no Courtesy=no
02V02010101020000000000000000000000	Vaip1p	Verb auxiliary indicative present first plural	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=plural
02V02010101020000010000000000000000	Vaip1p--n	Verb auxiliary indicative present first plural -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=plural Negative=no
02V02010102010000000000000000000100	Vaip2s---------n	Verb auxiliary indicative present second singular -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Courtesy=no
02V02010102010000000000000000000200	Vaip2s---------y	Verb auxiliary indicative present second singular +Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Courtesy=yes
02V02010102010000010000000000000100	Vaip2s--n------n	Verb auxiliary indicative present second singular -Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Negative=no Courtesy=no
02V02010102010000010000000000000200	Vaip2s--n------y	Verb auxiliary indicative present second singular -Negative +Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Negative=no Courtesy=yes
02V02010102010000020000000000000100	Vaip2s--y------n	Verb auxiliary indicative present second singular +Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=no
02V02010102020000000000000000000000	Vaip2p	Verb auxiliary indicative present second plural	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=plural
02V02010102020000010000000000000000	Vaip2p--n	Verb auxiliary indicative present second plural -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=plural Negative=no
02V02010103010000000000000000000100	Vaip3s---------n	Verb auxiliary indicative present third singular -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=singular Courtesy=no
02V02010103010000010000000000000100	Vaip3s--n------n	Verb auxiliary indicative present third singular -Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=singular Negative=no Courtesy=no
02V02010103010000020000000000000100	Vaip3s--y------n	Verb auxiliary indicative present third singular +Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=singular Negative=yes Courtesy=no
02V02010103020000000000000000000000	Vaip3p	Verb auxiliary indicative present third plural	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=plural
02V02010103020000010000000000000000	Vaip3p--n	Verb auxiliary indicative present third plural -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=plural Negative=no
02V02010103020000020000000000000000	Vaip3p--y	Verb auxiliary indicative present third plural +Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=plural Negative=yes
02V02010201010000000000000000000100	Vais1s---------n	Verb auxiliary indicative past first singular -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=first Number=singular Courtesy=no
02V02010202010000000000000000000100	Vais2s---------n	Verb auxiliary indicative past second singular -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=second Number=singular Courtesy=no
02V02010202010000000000000000000200	Vais2s---------y	Verb auxiliary indicative past second singular +Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=second Number=singular Courtesy=yes
02V02010202010000010000000000000100	Vais2s--n------n	Verb auxiliary indicative past second singular -Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=second Number=singular Negative=no Courtesy=no
02V02010202020000000000000000000000	Vais2p	Verb auxiliary indicative past second plural	Verb Type=auxiliary VForm=indicative Tense=past Person=second Number=plural
02V02010203010000000000000000000100	Vais3s---------n	Verb auxiliary indicative past third singular -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=singular Courtesy=no
02V02010203010000010000000000000100	Vais3s--n------n	Verb auxiliary indicative past third singular -Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=singular Negative=no Courtesy=no
02V02010203010000010000000000010100	Vais3s--n-----pn	Verb auxiliary indicative past third singular -Negative progressive -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=singular Negative=no Aspect=progressive Courtesy=no
02V02010203010000020000000000000100	Vais3s--y------n	Verb auxiliary indicative past third singular +Negative -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=singular Negative=yes Courtesy=no
02V02010203010000020000000000010100	Vais3s--y-----pn	Verb auxiliary indicative past third singular +Negative progressive -Courtesy	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=singular Negative=yes Aspect=progressive Courtesy=no
02V02010203020000000000000000000000	Vais3p	Verb auxiliary indicative past third plural	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=plural
02V02010203020000010000000000000000	Vais3p--n	Verb auxiliary indicative past third plural -Negative	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=plural Negative=no
02V02010203020000010000000000010000	Vais3p--n-----p	Verb auxiliary indicative past third plural -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=past Person=third Number=plural Negative=no Aspect=progressive
02V02020101010000000000000000000100	Vasp1s---------n	Verb auxiliary subjunctive present first singular -Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=first Number=singular Courtesy=no
02V02020101020000000000000000000000	Vasp1p	Verb auxiliary subjunctive present first plural	Verb Type=auxiliary VForm=subjunctive Tense=present Person=first Number=plural
02V02020101020000010000000000000000	Vasp1p--n	Verb auxiliary subjunctive present first plural -Negative	Verb Type=auxiliary VForm=subjunctive Tense=present Person=first Number=plural Negative=no
02V02020102010000000000000000000100	Vasp2s---------n	Verb auxiliary subjunctive present second singular -Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=second Number=singular Courtesy=no
02V02020102010000010000000000000100	Vasp2s--n------n	Verb auxiliary subjunctive present second singular -Negative -Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=no
02V02020102010000010000000000000200	Vasp2s--n------y	Verb auxiliary subjunctive present second singular -Negative +Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=yes
02V02020102020000020000000000000000	Vasp2p--y	Verb auxiliary subjunctive present second plural +Negative	Verb Type=auxiliary VForm=subjunctive Tense=present Person=second Number=plural Negative=yes
02V02020103010000000000000000000100	Vasp3s---------n	Verb auxiliary subjunctive present third singular -Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=third Number=singular Courtesy=no
02V02020103010000010000000000000100	Vasp3s--n------n	Verb auxiliary subjunctive present third singular -Negative -Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=third Number=singular Negative=no Courtesy=no
02V02020103010000020000000000000100	Vasp3s--y------n	Verb auxiliary subjunctive present third singular +Negative -Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=third Number=singular Negative=yes Courtesy=no
02V02020103020000000000000000000000	Vasp3p	Verb auxiliary subjunctive present third plural	Verb Type=auxiliary VForm=subjunctive Tense=present Person=third Number=plural
02V02020103020000010000000000000000	Vasp3p--n	Verb auxiliary subjunctive present third plural -Negative	Verb Type=auxiliary VForm=subjunctive Tense=present Person=third Number=plural Negative=no
02V02030102010000000000000000000100	Vamp2s---------n	Verb auxiliary imperative present second singular -Courtesy	Verb Type=auxiliary VForm=imperative Tense=present Person=second Number=singular Courtesy=no
02V02040000000000010000000000000000	Vap-----n	Verb auxiliary participle -Negative	Verb Type=auxiliary VForm=participle Negative=no
02V02040000000000010000000000010000	Vap-----n-----p	Verb auxiliary participle -Negative progressive	Verb Type=auxiliary VForm=participle Negative=no Aspect=progressive
02V02040000000000020000000000000000	Vap-----y	Verb auxiliary participle +Negative	Verb Type=auxiliary VForm=participle Negative=yes
02V03010000000000010000000000000000	Voi-----n	Verb modal indicative -Negative	Verb Type=modal VForm=indicative Negative=no
02V03010000000000020000000000000000	Voi-----y	Verb modal indicative +Negative	Verb Type=modal VForm=indicative Negative=yes
02V03010100000000010000000000000000	Voip----n	Verb modal indicative present -Negative	Verb Type=modal VForm=indicative Tense=present Negative=no
02V03010101010000010000000000000100	Voip1s--n------n	Verb modal indicative present first singular -Negative -Courtesy	Verb Type=modal VForm=indicative Tense=present Person=first Number=singular Negative=no Courtesy=no
02V03010101010000020000000000000100	Voip1s--y------n	Verb modal indicative present first singular +Negative -Courtesy	Verb Type=modal VForm=indicative Tense=present Person=first Number=singular Negative=yes Courtesy=no
02V03010101020000010000000000000000	Voip1p--n	Verb modal indicative present first plural -Negative	Verb Type=modal VForm=indicative Tense=present Person=first Number=plural Negative=no
02V03010101020000020000000000000000	Voip1p--y	Verb modal indicative present first plural +Negative	Verb Type=modal VForm=indicative Tense=present Person=first Number=plural Negative=yes
02V03010102010000010000000000000100	Voip2s--n------n	Verb modal indicative present second singular -Negative -Courtesy	Verb Type=modal VForm=indicative Tense=present Person=second Number=singular Negative=no Courtesy=no
02V03010102010000010000000000000200	Voip2s--n------y	Verb modal indicative present second singular -Negative +Courtesy	Verb Type=modal VForm=indicative Tense=present Person=second Number=singular Negative=no Courtesy=yes
02V03010102010000020000000000000100	Voip2s--y------n	Verb modal indicative present second singular +Negative -Courtesy	Verb Type=modal VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=no
02V03010102020000010000000000000000	Voip2p--n	Verb modal indicative present second plural -Negative	Verb Type=modal VForm=indicative Tense=present Person=second Number=plural Negative=no
02V03010102020000020000000000000000	Voip2p--y	Verb modal indicative present second plural +Negative	Verb Type=modal VForm=indicative Tense=present Person=second Number=plural Negative=yes
02V03010103010000010000000000000100	Voip3s--n------n	Verb modal indicative present third singular -Negative -Courtesy	Verb Type=modal VForm=indicative Tense=present Person=third Number=singular Negative=no Courtesy=no
02V03010103010000020000000000000100	Voip3s--y------n	Verb modal indicative present third singular +Negative -Courtesy	Verb Type=modal VForm=indicative Tense=present Person=third Number=singular Negative=yes Courtesy=no
02V03010103020000010000000000000000	Voip3p--n	Verb modal indicative present third plural -Negative	Verb Type=modal VForm=indicative Tense=present Person=third Number=plural Negative=no
02V03010103020000020000000000000000	Voip3p--y	Verb modal indicative present third plural +Negative	Verb Type=modal VForm=indicative Tense=present Person=third Number=plural Negative=yes
02V03010200000000010000000000010000	Vois----n-----p	Verb modal indicative past -Negative progressive	Verb Type=modal VForm=indicative Tense=past Negative=no Aspect=progressive
02V03010200000000020000000000010000	Vois----y-----p	Verb modal indicative past +Negative progressive	Verb Type=modal VForm=indicative Tense=past Negative=yes Aspect=progressive
02V03010201010000010000000000010100	Vois1s--n-----pn	Verb modal indicative past first singular -Negative progressive -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=first Number=singular Negative=no Aspect=progressive Courtesy=no
02V03010201010000020000000000010100	Vois1s--y-----pn	Verb modal indicative past first singular +Negative progressive -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=first Number=singular Negative=yes Aspect=progressive Courtesy=no
02V03010202010000010000000000010100	Vois2s--n-----pn	Verb modal indicative past second singular -Negative progressive -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=second Number=singular Negative=no Aspect=progressive Courtesy=no
02V03010202010000020000000000010100	Vois2s--y-----pn	Verb modal indicative past second singular +Negative progressive -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=second Number=singular Negative=yes Aspect=progressive Courtesy=no
02V03010202020000020000000000000000	Vois2p--y	Verb modal indicative past second plural +Negative	Verb Type=modal VForm=indicative Tense=past Person=second Number=plural Negative=yes
02V03010203010000010000000000000100	Vois3s--n------n	Verb modal indicative past third singular -Negative -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=third Number=singular Negative=no Courtesy=no
